Out-of-bounds Write in bfabiszewski/libmobi,CVE-2021-3751,CWE-787: Out-of-bounds Write,"        }
        source += aoffset;
    } else {
        if ( (buf->offset < aoffset) || (buf->offset + len > buf->maxlen) ) {
            debug_print(""%s"", ""Beyond start/end of buffer\n"");
            buf->error = MOBI_BUFFER_END;
            return;
        }
"
Heap-based Buffer Overflow in hoene/libmysofa,CVE-2021-3756,CWE-122: Heap-based Buffer Overflow,"      store = ftell(reader->fhd);
      if (fseek(reader->fhd, data_address, SEEK_SET) < 0)
        return errno; // LCOV_EXCL_LINE
      if (data->data) {
        free(data->data);
        data->data = NULL;




      }
      if (data_size > 0x10000000)
        return MYSOFA_INVALID_FORMAT;
      data->data_len = data_size;
      data->data = calloc(1, data_size);
      if (!data->data)
        return MYSOFA_NO_MEMORY; // LCOV_EXCL_LINE

      err = fread(data->data, 1, data_size, reader->fhd);
      if (err != data_size)
        return MYSOFA_READ_ERROR; // LCOV_EXCL_LINE
"
Heap-based Buffer Overflow in vim/vim,CVE-2021-3770,CWE-122: Heap-based Buffer Overflow,"/*
 * Set the integer values corresponding to the string setting of 'vartabstop'.
 * ""array"" will be set, caller must free it if needed.
 * Return FAIL for an error.
 */
    int
tabstop_set(char_u *var, int **array)
{
    int     valcount = 1;
    int     t;
    char_u  *cp;

    if (var[0] == NUL || (var[0] == '0' && var[1] == NUL))
    {
 *array = NULL;
 return OK;
    }

    for (cp = var; *cp != NUL; ++cp)
  if (cp != end)
      emsg(_(e_positive));
  else
      semsg(_(e_invarg2), cp);
  return FAIL;
     }
 }

     ++valcount;
     continue;
 }
 semsg(_(e_invarg2), var);
 return FAIL;
    }

    *array = ALLOC_MULT(int, valcount + 1);
    if (*array == NULL)
 return FAIL;
    (*array)[0] = valcount;

    t = 1;
    for (cp = var; *cp != NUL;)
    {
 int n = atoi((char *)cp);

 if (n < 0 || n > 9999)
 {
     semsg(_(e_invarg2), cp);
     return FAIL;
 }
 (*array)[t++] = n;
 while (*cp != NUL && *cp != ',')
     ++cp;
 if (*cp != NUL)
     ++cp;
    }

    return OK;
}

/*

#ifdef FEAT_VARTABS
    new_ts_str = eap->arg;
    if (tabstop_set(eap->arg, &new_vts_array) == FAIL)
 return;
    while (vim_isdigit(*(eap->arg)) || *(eap->arg) == ',')
 ++(eap->arg);
#endif
#ifdef FEAT_VARTABS
    vim_free(curbuf->b_p_vsts_array);
    (void)tabstop_set(curbuf->b_p_vsts, &curbuf->b_p_vsts_array);
    vim_free(curbuf->b_p_vts_array);
    (void)tabstop_set(curbuf->b_p_vts,  &curbuf->b_p_vts_array);
#endif
}

     buf->b_p_vsts = vim_strsave(p_vsts);
     COPY_OPT_SCTX(buf, BV_VSTS);
     if (p_vsts && p_vsts != empty_option)
  (void)tabstop_set(p_vsts, &buf->b_p_vsts_array);
     else
  buf->b_p_vsts_array = 0;
     buf->b_p_vsts_nopaste = p_vsts_nopaste
  buf->b_p_isk = save_p_isk;
#ifdef FEAT_VARTABS
  if (p_vts && p_vts != empty_option && !buf->b_p_vts_array)
      (void)tabstop_set(p_vts, &buf->b_p_vts_array);
  else
      buf->b_p_vts_array = NULL;
#endif
  buf->b_p_vts = vim_strsave(p_vts);
  COPY_OPT_SCTX(buf, BV_VTS);
  if (p_vts && p_vts != empty_option && !buf->b_p_vts_array)
      (void)tabstop_set(p_vts, &buf->b_p_vts_array);
  else
      buf->b_p_vts_array = NULL;
#endif
     if (buf->b_p_vsts_array)
  vim_free(buf->b_p_vsts_array);
     if (buf->b_p_vsts && buf->b_p_vsts != empty_option)
  (void)tabstop_set(buf->b_p_vsts, &buf->b_p_vsts_array);
     else
  buf->b_p_vsts_array = 0;
#endif
     if (errmsg == NULL)
     {
  int *oldarray = curbuf->b_p_vsts_array;
  if (tabstop_set(*varp, &(curbuf->b_p_vsts_array)) == OK)
  {
      if (oldarray)
   vim_free(oldarray);
     {
  int *oldarray = curbuf->b_p_vts_array;

  if (tabstop_set(*varp, &(curbuf->b_p_vts_array)) == OK)
  {
      vim_free(oldarray);
#ifdef FEAT_FOLDING
func Test_retab_error()
  call assert_fails('retab -1',  'E487:')
  call assert_fails('retab! -1', 'E487:')
  call assert_fails('ret -1000', 'E487:')
  call assert_fails('ret 10000', 'E475:')
  call assert_fails('ret 80000000000000000000', 'E475:')
endfunc

"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3402,
/**/
    3401,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2021-3778,CWE-122: Heap-based Buffer Overflow,"  match = FALSE;
  break;
     }
     len2 += enc_utf8 ? utf_ptr2len(rex.line + col + len2)
            : MB_CHAR2LEN(c2);
 }
 if (match
  // check that no composing char follows
  bwipe!
endfunc

func Test_match_invalid_byte()
  call writefile(0z630a.765d30aa0a.2e0a.790a.4030, 'Xinvalid')
  new
  source Xinvalid
  bwipe!
  call delete('Xinvalid')
endfunc

"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3409,
/**/
    3408,
/**/
"
Use After Free in vim/vim,CVE-2021-3796,CWE-416: Use After Free,"     {
  /*
   * Get ptr again, because u_save and/or showmatch() will have
   * released the line.  This may also happen in ins_copychar().
   * At the same time we let know that the line will be changed.
   */

  if (cap->nchar == Ctrl_E || cap->nchar == Ctrl_Y)
  {
    int c = ins_copychar(curwin->w_cursor.lnum
        + (cap->nchar == Ctrl_Y ? -1 : 1));

    ptr = ml_get_buf(curbuf, curwin->w_cursor.lnum, TRUE);
    if (c != NUL)
      ptr[curwin->w_cursor.col] = c;
  }
  else
  {
      ptr = ml_get_buf(curbuf, curwin->w_cursor.lnum, TRUE);
      ptr[curwin->w_cursor.col] = cap->nchar;
  }
  if (p_sm && msg_silent == 0)
      showmatch(cap->nchar);
  ++curwin->w_cursor.col;
  bw!
endfunc

"" Test for getting the character of the line below after ""p""
func Test_edit_put_CTRL_E()
  set encoding=latin1
  new
  let @"" = ''
  sil! norm orggRx
  sil! norm pr
  call assert_equal(['r', 'r'], getline(1, 2))
  bwipe!
  set encoding=utf-8
endfunc

"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3428,
/**/
    3427,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2021-3872,CWE-122: Heap-based Buffer Overflow,"     *(p + len++) = ' ';
 if (bt_help(wp->w_buffer))
 {
     vim_snprintf((char *)p + len, MAXPATHL - len, ""%s"", _(""[Help]""));
     len += (int)STRLEN(p + len);
 }
#ifdef FEAT_QUICKFIX
 if (wp->w_p_pvw)
 {
     vim_snprintf((char *)p + len, MAXPATHL - len, ""%s"", _(""[Preview]""));
     len += (int)STRLEN(p + len);
 }
#endif
#endif
  )
 {
     vim_snprintf((char *)p + len, MAXPATHL - len, ""%s"", ""[+]"");
     len += (int)STRLEN(p + len);
 }
 if (wp->w_buffer->b_p_ro)
 {
     vim_snprintf((char *)p + len, MAXPATHL - len, ""%s"", _(""[RO]""));
     len += (int)STRLEN(p + len);
 }

  %bw!
endfunc

"" Used to write beyond allocated memory.  This assumes MAXPATHL is 4096 bytes.
func Test_statusline_verylong_filename()
  let fname = repeat('x', 4090)
  exe ""new "" .. fname
  set buftype=help
  set previewwindow
  redraw
  bwipe!
endfunc

"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3487,
/**/
    3486,
/**/
"
Heap-based Buffer Overflow in vim/vim,CVE-2021-3875,CWE-122: Heap-based Buffer Overflow,"
      // When '/' or '?' follows another address, start from
      // there.
      if (lnum > 0 && lnum != MAXLNUM)
   curwin->w_cursor.lnum =
    lnum > curbuf->b_ml.ml_line_count
        ? curbuf->b_ml.ml_line_count : lnum;

      // Start a forward search at the end of the line (unless
      // before the first line).
  call feedkeys(""??\<C-T>"", 'xt')
endfunc

func Test_search_with_invalid_range()
  new
  let lines =<< trim END
    /\%.v
    5/
    c
  END
  call writefile(lines, 'Xrangesearch')
  source Xrangesearch

  bwipe!
  call delete('Xrangesearch')
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    3489,
/**/
    3488,
/**/
"
Out-of-bounds Read in bfabiszewski/libmobi,CVE-2021-3881,CWE-125: Out-of-bounds Read,"        if (!(t1 & 0x80)) {
            /* get offset from mincode, maxcode tables */
            while (code < huffcdic->mincode_table[code_length]) {
                if (++code_length >= HUFF_CODETABLE_SIZE) {
                    debug_print(""Wrong offset to mincode table: %hhu\n"", code_length);
                    return MOBI_DATA_CORRUPT;
                }
            }
            maxcode = huffcdic->maxcode_table[code_length];
        }

/* FIXME: what is the reasonable value? */
#define MOBI_HUFFMAN_MAXDEPTH 20 /**< Maximal recursion level for huffman decompression routine */
#define HUFF_CODETABLE_SIZE 33 /**< Size of min- and maxcode tables */


/**
    size_t index_read; /**< Number of indices parsed, used by parser */
    size_t code_length; /**< Code length value stored in CDIC record header */
    uint32_t table1[256]; /**< Table of big-endian indices from HUFF record data1 */
    uint32_t mincode_table[HUFF_CODETABLE_SIZE]; /**< Table of big-endian mincodes from HUFF record data2 */
    uint32_t maxcode_table[HUFF_CODETABLE_SIZE]; /**< Table of big-endian maxcodes from HUFF record data2 */
    uint16_t *symbol_offsets; /**< Index of symbol offsets parsed from CDIC records (index_count entries) */
    unsigned char **symbols; /**< Array of pointers to start of symbols data in each CDIC record (index = number of CDIC record) */
} MOBIHuffCdic;
    /* read 32 mincode-maxcode pairs from data2 big-endian */
    huffcdic->mincode_table[0] = 0;
    huffcdic->maxcode_table[0] = 0xFFFFFFFF;
    for (int i = 1; i < HUFF_CODETABLE_SIZE; i++) {
        const uint32_t mincode = mobi_buffer_get32(buf);
        const uint32_t maxcode = mobi_buffer_get32(buf);
        huffcdic->mincode_table[i] =  mincode << (32 - i);
"
Use of Out-of-range Pointer Offset in bfabiszewski/libmobi,CVE-2021-3888,CWE-823: Use of Out-of-range Pointer Offset,"        }
        curr = curr->next;
    }
    if (huffcdic->index_count != huffcdic->index_read) {
        debug_print(""CDIC: wrong read index count: %zu, total: %zu\n"", huffcdic->index_read, huffcdic->index_count);
        return MOBI_DATA_CORRUPT;
    }
    return MOBI_SUCCESS;
}

"
Use of Out-of-range Pointer Offset in bfabiszewski/libmobi,CVE-2021-3889,CWE-823: Use of Out-of-range Pointer Offset,"        if (!(t1 & 0x80)) {
            /* get offset from mincode, maxcode tables */
            while (code < huffcdic->mincode_table[code_length]) {
                if (++code_length >= HUFF_CODETABLE_SIZE) {
                    debug_print(""Wrong offset to mincode table: %hhu\n"", code_length);
                    return MOBI_DATA_CORRUPT;
                }
            }
            maxcode = huffcdic->maxcode_table[code_length];
        }

/* FIXME: what is the reasonable value? */
#define MOBI_HUFFMAN_MAXDEPTH 20 /**< Maximal recursion level for huffman decompression routine */
#define HUFF_CODETABLE_SIZE 33 /**< Size of min- and maxcode tables */


/**
    size_t index_read; /**< Number of indices parsed, used by parser */
    size_t code_length; /**< Code length value stored in CDIC record header */
    uint32_t table1[256]; /**< Table of big-endian indices from HUFF record data1 */
    uint32_t mincode_table[HUFF_CODETABLE_SIZE]; /**< Table of big-endian mincodes from HUFF record data2 */
    uint32_t maxcode_table[HUFF_CODETABLE_SIZE]; /**< Table of big-endian maxcodes from HUFF record data2 */
    uint16_t *symbol_offsets; /**< Index of symbol offsets parsed from CDIC records (index_count entries) */
    unsigned char **symbols; /**< Array of pointers to start of symbols data in each CDIC record (index = number of CDIC record) */
} MOBIHuffCdic;
    /* read 32 mincode-maxcode pairs from data2 big-endian */
    huffcdic->mincode_table[0] = 0;
    huffcdic->maxcode_table[0] = 0xFFFFFFFF;
    for (int i = 1; i < HUFF_CODETABLE_SIZE; i++) {
        const uint32_t mincode = mobi_buffer_get32(buf);
        const uint32_t maxcode = mobi_buffer_get32(buf);
        huffcdic->mincode_table[i] =  mincode << (32 - i);
"
