heap-buffer-overflow in gf_isom_box_write_header in gpac/gpac,,CWE-122: Heap-based Buffer Overflow," u32 type;
 GF_UnknownBox *ptr = (GF_UnknownBox *)s;
 if (!s) return GF_BAD_PARAM;
 if (ptr->original_4cc == GF_ISOM_BOX_TYPE_UUID) return GF_BAD_PARAM;
 type = s->type;
 ptr->type = ptr->original_4cc;
 e = gf_isom_box_write_header(s, bs);
 GF_GenericSampleEntryBox *ptr = (GF_GenericSampleEntryBox *)s;

 //careful we are not writing the box type but the entry type so switch for write
 if (ptr->EntryType == GF_ISOM_BOX_TYPE_UUID) return GF_BAD_PARAM;
 ptr->type = ptr->EntryType;
 e = gf_isom_box_write_header(s, bs);
 if (e) return e;
 GF_GenericVisualSampleEntryBox *ptr = (GF_GenericVisualSampleEntryBox *)s;

 //careful we are not writing the box type but the entry type so switch for write
 if (ptr->EntryType == GF_ISOM_BOX_TYPE_UUID) return GF_BAD_PARAM;
 ptr->type = ptr->EntryType;
 e = gf_isom_box_write_header(s, bs);
 if (e) return e;
 GF_GenericAudioSampleEntryBox *ptr = (GF_GenericAudioSampleEntryBox *)s;

 //careful we are not writing the box type but the entry type so switch for write
 if (ptr->EntryType == GF_ISOM_BOX_TYPE_UUID) return GF_BAD_PARAM;
 ptr->type = ptr->EntryType;
 e = gf_isom_box_write_header(s, bs);
 if (e) return e;
 GF_Err e;
 u32 i;
 GF_TrackReferenceTypeBox *ptr = (GF_TrackReferenceTypeBox *)s;
 if (ptr->reference_type == GF_ISOM_BOX_TYPE_UUID) return GF_BAD_PARAM;
 ptr->type = ptr->reference_type;
 e = gf_isom_box_write_header(s, bs);
 ptr->type = GF_ISOM_BOX_TYPE_REFT;
 GF_Err e;
 GF_TrackGroupTypeBox *ptr = (GF_TrackGroupTypeBox *) s;
 if (!s) return GF_BAD_PARAM;
 if (ptr->group_type == GF_ISOM_BOX_TYPE_UUID) return GF_BAD_PARAM;
 s->type = ptr->group_type;
 e = gf_isom_full_box_write(s, bs);
 s->type = GF_ISOM_BOX_TYPE_TRGT;
"
Uncontrolled Memory Allocation in function lodepng_realloc in hpjansson/chafa,,CWE-770: Allocation of Resources Without Limits or Throttling,"      expected_size += lodepng_get_raw_size_idat((*w + 0), (*h + 0) >> 1, bpp);
    }

    if(expected_size > LODEPNG_IMAGE_DATA_SIZE_MAX) {
      state->error = 114;
    }
  }

  if (!state->error) {
    state->error = zlib_decompress(&scanlines, &scanlines_size, expected_size, idat, idatsize, &state->decoder.zlibsettings);
  }

  if(!state->error && scanlines_size != expected_size) state->error = 91; /*decompressed size doesn't match prediction*/
  lodepng_free(idat);

  if(!state->error) {
    outsize = lodepng_get_raw_size(*w, *h, &state->info_png.color);
    if (outsize > LODEPNG_IMAGE_DATA_SIZE_MAX) {
      state->error = 114;
    }
  }

  if(!state->error) {
    *out = (unsigned char*)lodepng_malloc(outsize);
    if(!*out) state->error = 83; /*alloc fail*/
  }

  if(!state->error) {
    lodepng_memset(*out, 0, outsize);
    state->error = postProcessScanlines(*out, scanlines, *w, *h, &state->info_png);
    /*max ICC size limit can be configured in LodePNGDecoderSettings. This error prevents
    unreasonable memory consumption when decoding due to impossibly large ICC profile*/
    case 113: return ""ICC profile unreasonably large"";
    /*max size of an in-memory image buffer*/
    case 114: return ""image data unreasonably large"";
  }
  return ""unknown error code"";
}

extern const char* LODEPNG_VERSION_STRING;

/*Hard upper limit on size of an uncompressed in-memory image buffer. The
total memory consumption may be higher, e.g. during postProcessScanlines().*/
#define LODEPNG_IMAGE_DATA_SIZE_MAX 0xffffffffU

/*
The following #defines are used to create code sections. They can be disabled
to disable code sections, which can give faster compile time and smaller binary.
"
Null Pointer Dereference Caused Segmentation Fault in gpac/gpac,,CWE-476: NULL Pointer Dereference,"  fprintf(stderr, ""\t3GPP DIMS stream - size %d x %d - Profile %d - Level %d\n"", w, h, dims.profile, dims.level);
  fprintf(stderr, ""\tpathComponents: %d - useFullRequestHost: %s\n"", dims.pathComponents, dims.fullRequestHost ? ""yes"" : ""no"");
  fprintf(stderr, ""\tstream type: %s - redundant: %s\n"", dims.streamType ? ""primary"" : ""secondary"", (dims.containsRedundant==1) ? ""main"" : ((dims.containsRedundant==2) ? ""redundant"" : ""main+redundant"") );
  if (dims.textEncoding && dims.textEncoding[0]) fprintf(stderr, ""\ttext encoding %s\n"", dims.textEncoding);
  if (dims.contentEncoding && dims.contentEncoding[0]) fprintf(stderr, ""\tcontent encoding %s\n"", dims.contentEncoding);
  if (dims.content_script_types && dims.content_script_types[0]) fprintf(stderr, ""\tscript languages %s\n"", dims.content_script_types);
 } else if (mtype==GF_ISOM_MEDIA_HINT) {
  u32 refTrack;
  s32 refCount = gf_isom_get_reference_count(file, trackNum, GF_ISOM_REF_HINT);
"
BufferOverflow in arnoldaldrin/binaries,,CWE-121: Stack-based Buffer Overflow,"{
 int n,j,i;
 printf(""Enter the no. of processes:"");
 printf(""enter no of proccess you want:"");
    scanf(""%d"",&n);
 int a[n],bt[n],tat[n],wt[n],ct[n],at[n];
 float awt,wts=0;
 printf(""enter burst time:"");
"
Floating point exception in mruby/mruby,,CWE-1077: Floating Point Comparison with Incorrect Operator,"  switch (mrb_type(mod)) {
  case MRB_TT_INTEGER:
    {
      mrb_int m = mrb_integer(mod);
      if (m == 0) mrb_int_zerodiv(mrb);
      struct RBigint *b2 = bint_new(mrb);
      struct RBigint *b3 = bint_new_int(mrb, m);
      mpz_powm(mrb, &b2->mp, &b->mp, exp, &b3->mp);
      return mrb_obj_value(b3);
    }
  case MRB_TT_BIGINT:
    {
      struct RBigint *b2 = bint_new(mrb);
      struct RBigint *b3 = RBIGINT(mod);
      if (uzero(&b3->mp)) mrb_int_zerodiv(mrb);
      mpz_powm(mrb, &b2->mp, &b->mp, exp, &b3->mp);
      return bint_norm(mrb, b3);
    }
"
Global overflow in pppdump leads to RCE in ppp-project/ppp,,CWE-120: Classic Buffer Overflow,"       printf(""%s aborted packet:\n     "", dir);
       q = ""    "";
   }
   if (pkt->cnt >= sizeof(pkt->buf)) {
       printf(""%s over-long packet truncated:\n     "", dir);
       q = ""    "";
   }
   nb = pkt->cnt;
   p = pkt->buf;
   pkt->cnt = 0;
   c ^= 0x20;
   pkt->esc = 0;
      }
      if (pkt->cnt < sizeof(pkt->buf))
   pkt->buf[pkt->cnt++] = c;
      break;
  }
     }
"
heap-buffer-overflow in dex_parse in virustotal/yara,,CWE-122: Heap-based Buffer Overflow,"  {
#ifdef DEBUG_DEX_MODULE
    printf(
        ""[DEX]\tFIELD_NAME %s NAME_IDX 0x%llx\n"", field_name->c_string, name_idx);
#endif

    set_sized_string(
  {
#ifdef DEBUG_DEX_MODULE
    printf(
        ""[DEX]\tCLASS_NAME %s CLASS_IDX 0x%llx DESCRIPTOR_IDX 0x%llx\n"",
        class_name->c_string,
        class_idx,
        descriptor_idx);
    return 0;

#ifdef DEBUG_DEX_MODULE
  printf(""[DEX]\tNAME_IDX 0x%llx\n"", name_idx);
#endif

#ifdef DEBUG_DEX_MODULE
  {
#ifdef DEBUG_DEX_MODULE
    printf(
        ""[DEX]\tMETHOD_NAME %s NAME_IDX 0x%llx\n"",
        method_name->c_string,
        name_idx);
#endif
  {
#ifdef DEBUG_DEX_MODULE
    printf(
        ""[DEX]\tCLASS_NAME %s CLASS_IDX 0x%llx DESCRIPTOR_IDX:0x%llx\n"",
        class_name->c_string,
        class_idx,
        descriptor_idx);
  {
#ifdef DEBUG_DEX_MODULE
    printf(
        ""[DEX]\tPROTO_NAME %s CLASS_IDX 0x%llx DESCRIPTOR_IDX:0x%llx\n"",
        proto_name->c_string,
        class_idx,
        descriptor_idx);
#endif

    if (struct_fits_in_dex(
            dex, dex->data + encoded_method.code_off, code_item_t))
    {
      code_item_t* code_item =
          (code_item_t*) (dex->data + encoded_method.code_off);

    if (!fits_in_dex(
            dex,
            dex->data + yr_le32toh(string_id_item->string_data_offset) + 1,
            value))
      continue;

    set_integer(value, dex->object, ""string_ids[%i].size"", i);

    set_sized_string(
        (const char*) (
            dex->data + yr_le32toh(string_id_item->string_data_offset) + 1),
        value,
        dex->object,
        ""string_ids[%i].value"",
      map_item_t* map_item =
          (map_item_t*) (dex->data + yr_le32toh(dex_header->map_offset) + sizeof(uint32_t) + i * sizeof(map_item_t));

      if (!struct_fits_in_dex(dex, map_item, map_item_t))
        return;

      set_integer(
          yr_le16toh(map_item->type),
          dex->object,
"
NDIS Packet Buffer Overflow Due To Allocation/Copy Inconsistencies in luigirizzo/netmap,,CWE-122: Heap-based Buffer Overflow,"### Windows

Netmap has been ported to Windows in summer 2015 by Alessio Faina as part of
his Master thesis. You may take a look [here](WINDOWS/README.txt) for details,
but please be aware that the port has been left behind for years, and is
currently unmantained.

## Applications

**************************************************************
DISCLAIMER: The Windows port of netmap is currently unmantained.  Not even
compilation is guaranteed.  Moreover, it is know to contain security-critcal
bugs.
**************************************************************

This directory contains the Windows version of netmap, developed by
"
buffer size confusion in vastrock-huang/minivpn,,CWE-120: Classic Buffer Overflow,
Null pointer dereference at chafa-pixops.c:95 in hpjansson/chafa,,CWE-476: NULL Pointer Dereference,"        }

        if (row_ofs [0] >= row_ofs [1])
        {
            /* Save the number of batches actually produced to use in
             * post_func loop later. */
            n_batches = i;
            break;
        }

        batch = &batches [i++];
        batch->first_row = row_ofs [0];
"
"classic overflow on the stack, with the ability to intercept control. in lurcher/unixodbc",,CWE-120: Classic Buffer Overflow,"#endif
            if ( !(connection -> cl_handle = odbc_dlopen( name, &err )))
            {
                char txt[ 1024 ];

#ifdef HAVE_SNPRINTF
                snprintf( txt, sizeof( txt ), ""Can't open cursor lib '%s' : %s"", 
                    name, err ? err : ""NULL ERROR RETURN"" );
#else
                sprintf( txt, ""Can't open cursor lib '%s' : %s"", 
                    name, err ? err : ""NULL ERROR RETURN"" );
#endif

                dm_log_write( __FILE__,
                        __LINE__,
{
    SQLCHAR dsn[ 1024 ], uid[ 1024 ], pwd[ 1024 ];
    SQLTCHAR cstr[ 1024 ];
    char zcstr[ 1024 * 2 ], tmp[ 1024 * 8 ];
    int i;
    size_t zclen;

    if ( szDSN )
    {
        size_t DSNlen=strlen( szDSN );
        for ( i = 0; i < DSNlen && i < sizeof( dsn ) - 1; i ++ )
        {
            dsn[ i ] = szDSN[ i ];
        }
    if ( szUID )
    {
        size_t UIDlen=strlen( szUID );
        for ( i = 0; i < UIDlen && i < sizeof( uid ) - 1; i ++ )
        {
            uid[ i ] = szUID[ i ];
        }
    if ( szPWD )
    {
        size_t PWDlen=strlen( szPWD );
        for ( i = 0; i < PWDlen && i < sizeof( pwd ) - 1; i ++ )
        {
            pwd[ i ] = szPWD[ i ];
        }
"
Null pointer dereference in index.c in bfabiszewski/libmobi,,CWE-476: NULL Pointer Dereference,"2022-05-27: Fix potential null pointer dereference on corrupt input when inflections CNCX record is not initialized
2022-05-23: Fix index entries count
2022-05-23: Prevent leak of index entries on corrupt data
2022-05-23: Add checks for fragments part in case of corrupt data
 Matches are made agains reversed string and all its substrings
 @param[in,out] infl_strings Array of returned strings
 @param[in] root Root node of the tree
 @param[in] string Index entry number
 @return Number of returned strings
 */
size_t mobi_trie_get_inflgroups(char **infl_strings, MOBITrie * const root, const char *string) {
    /* travers trie and get values for each substring */
    if (root == NULL) {
        return 0;
    }
    size_t count = 0;
    size_t length = strlen(string);
 @brief Insert inversed inlection string for given entry into trie structure
 @param[in,out] root Root node of the tree, created if NULL
 @param[in] indx MOBIIndx infl index records
 @param[in] i Index entry number
 @return MOBI_RET status code (on success MOBI_SUCCESS)
 */
MOBI_RET mobi_trie_insert_infl(MOBITrie **root, const MOBIIndx *indx, size_t i) {
    if (indx->cncx_record == NULL) {
        return MOBI_DATA_CORRUPT;
    }
    MOBIIndexEntry e = indx->entries[i];
    char *inflected = e.label;
    for (size_t j = 0; j < e.tags_count; j++) {
"
Stack buffer overflow in RTSP packet parsing in gpac/gpac,,CWE-121: Stack-based Buffer Overflow,"
 //copy the body if any
 if (!e && com->Content_Length) {
  u32 rsp_size = sess->CurrentSize - sess->CurrentPos;
  if (rsp_size < com->Content_Length) {
   GF_LOG(GF_LOG_ERROR, GF_LOG_RTP, (""[RTSP] Invalid content length %u - Response was: \n%s\n"", com->Content_Length, sess->tcp_buffer+sess->CurrentPos));
   e = GF_NON_COMPLIANT_BITSTREAM;
   goto exit;
  }
  com->body = (char *) gf_malloc(sizeof(char) * (com->Content_Length));
  memcpy(com->body, sess->tcp_buffer+sess->CurrentPos + BodyStart, com->Content_Length);
 }

void gf_rtsp_get_body_info(GF_RTSPSession *sess, u32 *body_start, u32 *body_size)
{

 s32 start;
 char *buffer;
 char *cl_str;

 //if found add the 2 ""\r\n"" and parse it
 *body_start = start + 4;
 *body_size = 0;

 //get the content length
 cl_str = strstr(buffer, ""Content-Length: "");
 if (!cl_str) cl_str = strstr(buffer, ""Content-length: "");

 if (cl_str) {
  char *sep;
  cl_str += 16;
  sep = strchr(cl_str, '\r');
  if (sep) {
   sep[0] = 0;
   *body_size = atoi(cl_str);
   sep[0] = '\r';
  }




 }
}


 //copy the body if any
 if (!e && rsp->Content_Length) {
  u32 rsp_size = sess->CurrentSize - sess->CurrentPos;
  if (rsp_size < rsp->Content_Length) {
   GF_LOG(GF_LOG_ERROR, GF_LOG_RTP, (""[RTSP] Invalid content length %u - Response was: \n%s\n"", rsp->Content_Length, sess->tcp_buffer+sess->CurrentPos));
   e = GF_NON_COMPLIANT_BITSTREAM;
   goto exit;
  }
  rsp->body = (char *)gf_malloc(sizeof(char) * (rsp->Content_Length));
  memcpy(rsp->body, sess->tcp_buffer+sess->CurrentPos + BodyStart, rsp->Content_Length);
 }
"
Denial of service in mruby/mruby,,CWE-400: Denial of Service,"mrb_value
mrb_exc_inspect(mrb_state *mrb, mrb_value exc)
{

  mrb_value cname = mrb_mod_to_s(mrb, mrb_obj_value(mrb_obj_class(mrb, exc)));
  mrb_value mesg = mrb_exc_mesg_get(mrb, mrb_exc_ptr(exc)); /* string or nil */
  return (mrb_nil_p(mesg)||RSTRING_LEN(mesg)==0) ? cname : mrb_format(mrb, ""%v (%v)"", mesg, cname);
}

void mrb_keep_backtrace(mrb_state *mrb, mrb_value exc);
"
A null pointer reference in libmobi. in bfabiszewski/libmobi,,CWE-476: NULL Pointer Dereference,"2022-04-23: Fix issue with corrupt files with tagvalues_count = 0 that caused heap buffer over-read
2022-04-23: Fix issues when mobi_buffer_getpointer returns null. With corrupt data this could lead to out-of-bounds read
2022-04-13: Add packaging status [skip ci]
2022-04-10: Make random generation return proper error codes
    for (size_t j = 0; j < e.tags_count; j++) {
        MOBIIndexTag t = e.tags[j];
        if (t.tagid == INDX_TAGARR_INFL_PARTS_V1) {
            for (size_t k = 0; k + 1 < t.tagvalues_count; k += 2) {
                uint32_t len = t.tagvalues[k];
                uint32_t offset = t.tagvalues[k + 1];
                char *base = mobi_get_cncx_string_flat(indx->cncx_record, offset, len);
"
